timestamp,config,method,target_model,draft_model,gamma,T_steps,decode_speedup,throughput_tok_sec,decode_throughput_tok_sec,ttft_ms,avg_itl_ms,acceptance_rate_percent,total_time_sec,total_tokens,parity_verified,perplexity
2026-05-16 10:14:31,configs/redpajama_mdlm.yaml,SpecDiff,togethercomputer/RedPajama-INCITE-Base-3B-v1,kuleshov-group/mdlm-no_flashattn-fp32-owt,4,7,1.9529388166745585,27.089977025758493,27.16635295304567,63.378095626831055,36.81024102603688,73.046875,9.449989557266235,256,True,1.197265625
2026-05-16 10:14:31,configs/redpajama_mdlm.yaml,SpecDiff,togethercomputer/RedPajama-INCITE-Base-3B-v1,kuleshov-group/mdlm-no_flashattn-fp32-owt,4,8,2.0407803367700152,28.295710464121964,28.38827230785099,64.72516059875488,35.225813996558095,81.640625,9.04730772972107,256,True,1.197265625
2026-05-16 10:14:31,configs/redpajama_mdlm.yaml,SpecDiff,togethercomputer/RedPajama-INCITE-Base-3B-v1,kuleshov-group/mdlm-no_flashattn-fp32-owt,4,9,1.8430671119111628,25.545667317151345,25.637982742125427,75.0885009765625,39.0046287985409,75.390625,10.021268844604492,256,True,1.197265625
2026-05-16 10:14:31,configs/redpajama_mdlm.yaml,SpecDiff,togethercomputer/RedPajama-INCITE-Base-3B-v1,kuleshov-group/mdlm-no_flashattn-fp32-owt,4,10,2.033956354523831,28.202042203236218,28.2933473113983,64.63742256164551,35.34399761873133,75.390625,9.077356815338137,256,True,1.197265625
2026-05-16 10:14:31,configs/redpajama_mdlm.yaml,SpecDiff,togethercomputer/RedPajama-INCITE-Base-3B-v1,kuleshov-group/mdlm-no_flashattn-fp32-owt,6,1,2.8151005393952033,38.94784710259182,39.159452512568635,61.05446815490723,25.536618513219494,78.125,6.572892189025879,256,True,1.197265625
2026-05-16 10:14:31,configs/redpajama_mdlm.yaml,SpecDiff,togethercomputer/RedPajama-INCITE-Base-3B-v1,kuleshov-group/mdlm-no_flashattn-fp32-owt,6,2,2.524213679431608,34.95114529956818,35.113071212907535,62.256813049316406,28.47942277496936,73.828125,7.324509620666504,256,True,1.197265625
2026-05-16 10:14:31,configs/redpajama_mdlm.yaml,SpecDiff,togethercomputer/RedPajama-INCITE-Base-3B-v1,kuleshov-group/mdlm-no_flashattn-fp32-owt,6,3,2.2333308101498663,30.909927368386327,31.066745425621352,73.99511337280273,32.18875959807751,72.65625,8.282128810882568,256,True,1.197265625
2026-05-16 10:14:31,configs/redpajama_mdlm.yaml,SpecDiff,togethercomputer/RedPajama-INCITE-Base-3B-v1,kuleshov-group/mdlm-no_flashattn-fp32-owt,6,4,2.6029685256212383,36.0331997245113,36.20859040177461,62.03150749206543,27.617755590700636,74.21875,7.1045591831207275,256,True,1.197265625
2026-05-16 10:14:31,configs/redpajama_mdlm.yaml,SpecDiff,togethercomputer/RedPajama-INCITE-Base-3B-v1,kuleshov-group/mdlm-no_flashattn-fp32-owt,6,5,2.561626511986934,35.458658356998214,35.63350237311247,63.48848342895508,28.063477721868775,77.34375,7.219675302505493,256,True,1.197265625
2026-05-16 10:14:31,configs/redpajama_mdlm.yaml,SpecDiff,togethercomputer/RedPajama-INCITE-Base-3B-v1,kuleshov-group/mdlm-no_flashattn-fp32-owt,6,6,2.3576371547061616,32.66053460143457,32.79590867522558,62.84594535827637,30.49160826439951,73.4375,7.838206052780151,256,True,1.197265625
2026-05-16 10:14:31,configs/redpajama_mdlm.yaml,SpecDiff,togethercomputer/RedPajama-INCITE-Base-3B-v1,kuleshov-group/mdlm-no_flashattn-fp32-owt,6,7,2.3674574039407887,32.7895902160187,32.93251323985246,64.24808502197266,30.36512861064836,74.609375,7.807355880737305,256,True,1.197265625
2026-05-16 10:14:31,configs/redpajama_mdlm.yaml,SpecDiff,togethercomputer/RedPajama-INCITE-Base-3B-v1,kuleshov-group/mdlm-no_flashattn-fp32-owt,6,8,2.2190979922834706,30.696751494217747,30.86875983059215,78.86576652526855,32.39521138808306,74.609375,8.33964467048645,256,True,1.197265625
2026-05-16 10:14:31,configs/redpajama_mdlm.yaml,SpecDiff,togethercomputer/RedPajama-INCITE-Base-3B-v1,kuleshov-group/mdlm-no_flashattn-fp32-owt,6,9,2.2147352189109313,30.645234845890897,30.80807147708072,76.61247253417969,32.45902622447294,74.609375,8.35366415977478,256,True,1.197265625
2026-05-16 10:14:31,configs/redpajama_mdlm.yaml,SpecDiff,togethercomputer/RedPajama-INCITE-Base-3B-v1,kuleshov-group/mdlm-no_flashattn-fp32-owt,6,10,2.148080413321655,29.768690014073385,29.88086988776607,65.75131416320801,33.46622784932455,72.65625,8.599639415740967,256,True,1.197265625
2026-05-16 10:14:31,configs/redpajama_mdlm.yaml,SpecDiff,togethercomputer/RedPajama-INCITE-Base-3B-v1,kuleshov-group/mdlm-no_flashattn-fp32-owt,8,1,2.787094414276133,38.566254114453514,38.769873344324466,60.65559387207031,25.793223287544997,74.609375,6.637927532196045,256,True,1.197265625
2026-05-16 10:14:31,configs/redpajama_mdlm.yaml,SpecDiff,togethercomputer/RedPajama-INCITE-Base-3B-v1,kuleshov-group/mdlm-no_flashattn-fp32-owt,8,2,2.8402586929780167,39.28760605356093,39.509414976339734,61.892032623291016,25.310422859939873,75.0,6.516049861907959,256,True,1.197265625
2026-05-16 10:14:31,configs/redpajama_mdlm.yaml,SpecDiff,togethercomputer/RedPajama-INCITE-Base-3B-v1,kuleshov-group/mdlm-no_flashattn-fp32-owt,8,3,2.656885896516902,36.775636427142054,36.95860792180424,61.51986122131348,27.057296154545803,73.828125,6.961130380630493,256,True,1.197265625
2026-05-16 10:14:31,configs/redpajama_mdlm.yaml,SpecDiff,togethercomputer/RedPajama-INCITE-Base-3B-v1,kuleshov-group/mdlm-no_flashattn-fp32-owt,8,4,2.708728461528733,37.479274510209784,37.67976385719641,62.88337707519531,26.53944445591347,74.609375,6.83044171333313,256,True,1.197265625
2026-05-16 10:14:31,configs/redpajama_mdlm.yaml,SpecDiff,togethercomputer/RedPajama-INCITE-Base-3B-v1,kuleshov-group/mdlm-no_flashattn-fp32-owt,8,5,2.3062552965683865,31.92417606307498,32.08116140222551,70.41096687316895,31.170941334144743,71.09375,8.019001007080078,256,True,1.197265625
2026-05-16 10:14:31,configs/redpajama_mdlm.yaml,SpecDiff,togethercomputer/RedPajama-INCITE-Base-3B-v1,kuleshov-group/mdlm-no_flashattn-fp32-owt,8,6,2.611499650822038,36.1352949397851,36.32726260815032,64.96477127075195,27.527535195444145,73.4375,7.084486246109009,256,True,1.197265625
2026-05-16 10:14:31,configs/redpajama_mdlm.yaml,SpecDiff,togethercomputer/RedPajama-INCITE-Base-3B-v1,kuleshov-group/mdlm-no_flashattn-fp32-owt,8,7,2.6650032764988625,36.85199453608177,37.07152472583368,68.11189651489258,26.974881864061544,76.171875,6.946706771850586,256,True,1.197265625
2026-05-16 10:14:31,configs/redpajama_mdlm.yaml,SpecDiff,togethercomputer/RedPajama-INCITE-Base-3B-v1,kuleshov-group/mdlm-no_flashattn-fp32-owt,8,8,2.3739948364051653,32.872588763860016,33.02345218592573,65.85836410522461,30.281510072595932,73.4375,7.7876434326171875,256,True,1.197265625
2026-05-16 10:14:31,configs/redpajama_mdlm.yaml,SpecDiff,togethercomputer/RedPajama-INCITE-Base-3B-v1,kuleshov-group/mdlm-no_flashattn-fp32-owt,8,9,2.400432377465084,33.17869673828448,33.391211567587945,79.05435562133789,29.947999879425648,73.828125,7.715794324874878,256,True,1.197265625
2026-05-16 10:14:31,configs/redpajama_mdlm.yaml,SpecDiff,togethercomputer/RedPajama-INCITE-Base-3B-v1,kuleshov-group/mdlm-no_flashattn-fp32-owt,8,10,2.371709062736823,32.84241260013074,32.99165593418718,65.57178497314453,30.310694376627605,74.609375,7.794798851013184,256,True,1.197265625
2026-05-16 10:14:31,configs/redpajama_mdlm.yaml,SpecDiff,togethercomputer/RedPajama-INCITE-Base-3B-v1,kuleshov-group/mdlm-no_flashattn-fp32-owt,10,1,2.455053289182614,33.94905045798448,34.15101569133528,73.87661933898926,29.28170596852022,73.046875,7.540711641311645,256,True,1.197265625
2026-05-16 10:14:31,configs/redpajama_mdlm.yaml,SpecDiff,togethercomputer/RedPajama-INCITE-Base-3B-v1,kuleshov-group/mdlm-no_flashattn-fp32-owt,10,2,2.664341783502514,36.786421464015135,37.06232302833997,78.78684997558594,26.981579088697245,74.609375,6.959089517593384,256,True,1.197265625
2026-05-16 10:14:31,configs/redpajama_mdlm.yaml,SpecDiff,togethercomputer/RedPajama-INCITE-Base-3B-v1,kuleshov-group/mdlm-no_flashattn-fp32-owt,10,3,2.225357960370877,30.78170984605387,30.955839108798557,79.0858268737793,32.30408313227635,69.921875,8.316627025604248,256,True,1.197265625
2026-05-16 10:14:31,configs/redpajama_mdlm.yaml,SpecDiff,togethercomputer/RedPajama-INCITE-Base-3B-v1,kuleshov-group/mdlm-no_flashattn-fp32-owt,10,4,2.585602966550974,35.78371494810547,35.9670268141692,64.26525115966797,27.803243375292013,73.046875,7.154092311859131,256,True,1.197265625
2026-05-16 10:14:31,configs/redpajama_mdlm.yaml,SpecDiff,togethercomputer/RedPajama-INCITE-Base-3B-v1,kuleshov-group/mdlm-no_flashattn-fp32-owt,10,5,2.458068680009247,34.04358836325963,34.192961281636556,62.09611892700195,29.24578517091041,72.265625,7.519771337509155,256,True,1.197265625
2026-05-16 10:14:31,configs/redpajama_mdlm.yaml,SpecDiff,togethercomputer/RedPajama-INCITE-Base-3B-v1,kuleshov-group/mdlm-no_flashattn-fp32-owt,10,6,2.299705797294477,31.85622918407647,31.990054600813412,64.87751007080078,31.259715323354683,71.484375,8.036104917526245,256,True,1.197265625
2026-05-16 10:14:31,configs/redpajama_mdlm.yaml,SpecDiff,togethercomputer/RedPajama-INCITE-Base-3B-v1,kuleshov-group/mdlm-no_flashattn-fp32-owt,10,7,2.4470204688688297,33.876826108919616,34.03927515446365,65.44184684753418,29.37782885981541,73.4375,7.556788206100464,256,True,1.197265625
2026-05-16 10:14:31,configs/redpajama_mdlm.yaml,SpecDiff,togethercomputer/RedPajama-INCITE-Base-3B-v1,kuleshov-group/mdlm-no_flashattn-fp32-owt,10,8,2.353618378207188,32.596015432733275,32.74000548979122,65.08421897888184,30.54367233725155,72.65625,7.853720664978027,256,True,1.197265625
2026-05-16 10:14:31,configs/redpajama_mdlm.yaml,SpecDiff,togethercomputer/RedPajama-INCITE-Base-3B-v1,kuleshov-group/mdlm-no_flashattn-fp32-owt,10,9,2.4146670948644404,33.422310473357214,33.589223586068,67.83366203308105,29.77145325903799,73.046875,7.659554243087768,256,True,1.197265625
2026-05-16 10:14:31,configs/redpajama_mdlm.yaml,SpecDiff,togethercomputer/RedPajama-INCITE-Base-3B-v1,kuleshov-group/mdlm-no_flashattn-fp32-owt,10,10,2.4425375189973977,33.817065901625114,33.97691508591552,65.04654884338379,29.431747922710343,73.828125,7.5701422691345215,256,True,1.197265625
2026-05-16 10:14:31,configs/redpajama_mdlm.yaml,SpecDiff,togethercomputer/RedPajama-INCITE-Base-3B-v1,kuleshov-group/mdlm-no_flashattn-fp32-owt,12,1,2.500403119879904,34.601468099507585,34.781854454211256,67.12102890014648,28.75062344120998,72.265625,7.398530006408691,256,True,1.197265625
2026-05-16 10:14:31,configs/redpajama_mdlm.yaml,SpecDiff,togethercomputer/RedPajama-INCITE-Base-3B-v1,kuleshov-group/mdlm-no_flashattn-fp32-owt,12,2,2.5365092150441324,35.0888831134081,35.28410824558087,68.70841979980469,28.341370937871,73.828125,7.295758008956909,256,True,1.197265625
2026-05-16 10:14:31,configs/redpajama_mdlm.yaml,SpecDiff,togethercomputer/RedPajama-INCITE-Base-3B-v1,kuleshov-group/mdlm-no_flashattn-fp32-owt,12,3,2.287542472410877,31.675897828632017,31.820856685318503,68.24254989624023,31.425929537006457,71.875,8.081854581832886,256,True,1.197265625
2026-05-16 10:14:31,configs/redpajama_mdlm.yaml,SpecDiff,togethercomputer/RedPajama-INCITE-Base-3B-v1,kuleshov-group/mdlm-no_flashattn-fp32-owt,12,4,2.273477246892234,31.438722864003232,31.625202383431933,79.6349048614502,31.620351006002988,71.875,8.142824411392212,256,True,1.197265625
2026-05-16 10:14:31,configs/redpajama_mdlm.yaml,SpecDiff,togethercomputer/RedPajama-INCITE-Base-3B-v1,kuleshov-group/mdlm-no_flashattn-fp32-owt,12,5,2.4798146352227843,34.23645863219053,34.49545836428353,85.13140678405762,28.989323447732364,73.4375,7.477408885955811,256,True,1.197265625
2026-05-16 10:14:31,configs/redpajama_mdlm.yaml,SpecDiff,togethercomputer/RedPajama-INCITE-Base-3B-v1,kuleshov-group/mdlm-no_flashattn-fp32-owt,12,6,2.2427436815101633,31.063876930390553,31.197683160839738,67.39950180053711,32.05366228141037,69.921875,8.24108338356018,256,True,1.197265625
2026-05-16 10:14:31,configs/redpajama_mdlm.yaml,SpecDiff,togethercomputer/RedPajama-INCITE-Base-3B-v1,kuleshov-group/mdlm-no_flashattn-fp32-owt,12,7,2.314701413453465,32.03849267344586,32.19865110053231,70.80197334289551,31.057201647290995,71.484375,7.9903883934021,256,True,1.197265625
2026-05-16 10:14:31,configs/redpajama_mdlm.yaml,SpecDiff,togethercomputer/RedPajama-INCITE-Base-3B-v1,kuleshov-group/mdlm-no_flashattn-fp32-owt,12,8,2.283795817500907,31.620407334612157,31.76873884690572,69.27871704101562,31.477484983556412,71.875,8.0960373878479,256,True,1.197265625
2026-05-16 10:14:31,configs/redpajama_mdlm.yaml,SpecDiff,togethercomputer/RedPajama-INCITE-Base-3B-v1,kuleshov-group/mdlm-no_flashattn-fp32-owt,12,9,2.3169845573017533,32.07659701742584,32.2304107701623,69.11396980285645,31.026598051482555,72.65625,7.980896472930908,256,True,1.197265625
2026-05-16 10:14:31,configs/redpajama_mdlm.yaml,SpecDiff,togethercomputer/RedPajama-INCITE-Base-3B-v1,kuleshov-group/mdlm-no_flashattn-fp32-owt,12,10,2.169377130485336,30.053145673765307,30.177117845085544,68.13192367553711,33.13769078722187,71.484375,8.518243074417114,256,True,1.197265625
2026-05-16 10:14:31,configs/redpajama_mdlm.yaml,SpecDiff,togethercomputer/RedPajama-INCITE-Base-3B-v1,kuleshov-group/mdlm-no_flashattn-fp32-owt,14,1,2.6018825325081383,35.991199276114685,36.193483695940735,67.3828125,27.62928289525649,74.21875,7.112849950790405,256,True,1.197265625
2026-05-16 10:14:31,configs/redpajama_mdlm.yaml,SpecDiff,togethercomputer/RedPajama-INCITE-Base-3B-v1,kuleshov-group/mdlm-no_flashattn-fp32-owt,14,2,2.400314200759194,33.22217186818196,33.3895676706693,68.58134269714355,29.949474334716797,73.046875,7.705697298049927,256,True,1.197265625
2026-05-16 10:14:31,configs/redpajama_mdlm.yaml,SpecDiff,togethercomputer/RedPajama-INCITE-Base-3B-v1,kuleshov-group/mdlm-no_flashattn-fp32-owt,14,3,2.2960020466031628,31.73487711866461,31.93853358148028,82.7484130859375,31.31014132032207,72.65625,8.066834449768066,256,True,1.197265625
2026-05-16 10:14:31,configs/redpajama_mdlm.yaml,SpecDiff,togethercomputer/RedPajama-INCITE-Base-3B-v1,kuleshov-group/mdlm-no_flashattn-fp32-owt,14,4,2.191497367277351,30.31398280970229,30.484821371159168,80.12914657592773,32.80321009018842,70.3125,8.444947719573975,256,True,1.197265625
2026-05-16 10:14:31,configs/redpajama_mdlm.yaml,SpecDiff,togethercomputer/RedPajama-INCITE-Base-3B-v1,kuleshov-group/mdlm-no_flashattn-fp32-owt,14,5,2.507847842030989,34.697799304203244,34.885414252330335,68.3443546295166,28.66527519974054,72.265625,7.377989530563355,256,True,1.197265625
2026-05-16 10:14:31,configs/redpajama_mdlm.yaml,SpecDiff,togethercomputer/RedPajama-INCITE-Base-3B-v1,kuleshov-group/mdlm-no_flashattn-fp32-owt,14,6,2.1593902430222154,29.91690306888605,30.038195259590793,67.84367561340332,33.290948119818,69.921875,8.557035446166992,256,True,1.197265625
2026-05-16 10:14:31,configs/redpajama_mdlm.yaml,SpecDiff,togethercomputer/RedPajama-INCITE-Base-3B-v1,kuleshov-group/mdlm-no_flashattn-fp32-owt,14,7,2.446610351326985,33.86315924819461,34.03357021491364,67.23594665527344,29.382753372192383,73.828125,7.559838056564331,256,True,1.197265625
2026-05-16 10:14:31,configs/redpajama_mdlm.yaml,SpecDiff,togethercomputer/RedPajama-INCITE-Base-3B-v1,kuleshov-group/mdlm-no_flashattn-fp32-owt,14,8,2.2152726302766252,30.6800883467551,30.81554713720728,69.13042068481445,32.45115186653885,71.09375,8.344174146652222,256,True,1.197265625
